Layer[0],Layer[1],IN[2],INFER[2-10],OUT[10],TEE[2-10],classifier
0.396587,0.017728,0.125252,0.587057,0.063874,0.780119,1.199267
0.396076,0.017953,0.129571,0.605714,0.082883,0.821528,1.239365
0.395948,0.017601,0.124355,0.585970,0.063426,0.777047,1.194500
0.395788,0.017728,0.145061,0.585201,0.062210,0.795576,1.213572
0.415660,0.017729,0.134340,0.601298,0.066274,0.805368,1.243557
0.395596,0.017921,0.130211,0.589202,0.069378,0.792151,1.210276
0.396428,0.017888,0.135332,0.586450,0.064738,0.790328,1.210148
0.396268,0.017696,0.127524,0.590994,0.070178,0.792344,1.211012
0.395628,0.017729,0.124643,0.585201,0.064034,0.777783,1.195684
0.396428,0.017793,0.129988,0.605618,0.083266,0.824312,1.243141
0.396012,0.017729,0.130116,0.589681,0.065026,0.788247,1.206596
0.396875,0.017985,0.132740,0.590097,0.065602,0.791831,1.211075
0.396268,0.017984,0.128324,0.602450,0.069794,0.803896,1.222436
0.396268,0.018017,0.132772,0.590321,0.065634,0.792343,1.210820
0.395467,0.017729,0.128548,0.600689,0.065282,0.798039,1.215395
0.418509,0.018304,0.127684,0.585169,0.065825,0.781943,1.223684
0.397356,0.018080,0.144421,0.586033,0.067042,0.801400,1.222372
0.396620,0.017632,0.126276,0.592274,0.064097,0.786359,1.204932
0.396523,0.017633,0.132452,0.590449,0.065538,0.792247,1.211779
0.398060,0.017632,0.123332,0.587121,0.066818,0.780759,1.200867
0.396204,0.017632,0.129028,0.606738,0.074754,0.814328,1.232484
0.396108,0.017536,0.128836,0.588625,0.066082,0.787383,1.204995
0.398092,0.017569,0.137124,0.604722,0.067970,0.813560,1.233893
0.396364,0.017504,0.129284,0.603250,0.072994,0.809048,1.226788
0.396203,0.017921,0.128932,0.590321,0.065186,0.787639,1.206371
0.396428,0.017824,0.125188,0.586385,0.064514,0.779895,1.199107
0.414892,0.017569,0.131428,0.603410,0.064929,0.803352,1.240581
0.397068,0.017601,0.130084,0.589841,0.064962,0.788535,1.208100
