Layer[0],Layer[1],Layer[2],IN[3],INFER[3-5],OUT[5],TEE[3-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.413996,0.017760,0.191526,0.138468,0.097795,0.066274,0.307113,0.014273,0.000512,0.001536,0.000928,0.000352,0.954620
0.395723,0.017569,0.192390,0.141700,0.086402,0.064002,0.295528,0.015873,0.000544,0.001504,0.000992,0.000352,0.927515
0.395660,0.017505,0.192197,0.136900,0.084419,0.061730,0.286665,0.016288,0.000512,0.001504,0.001152,0.000352,0.918459
0.396715,0.017601,0.205766,0.140612,0.102691,0.061826,0.308297,0.015137,0.000960,0.001536,0.000992,0.000320,0.954172
0.395756,0.017536,0.191622,0.139876,0.085091,0.059746,0.287977,0.014720,0.000736,0.001408,0.001024,0.000416,0.917947
0.396395,0.017793,0.192006,0.142788,0.087586,0.060226,0.294312,0.014785,0.000544,0.001536,0.001056,0.000416,0.925531
0.395724,0.017536,0.191462,0.120452,0.087106,0.060674,0.271144,0.014657,0.000512,0.001536,0.001056,0.000320,0.900283
0.395883,0.017505,0.192038,0.124419,0.099395,0.060098,0.287368,0.015905,0.000704,0.001536,0.000992,0.000352,0.919131
0.395788,0.017760,0.192006,0.129060,0.087138,0.059362,0.278664,0.015297,0.000544,0.001504,0.000928,0.000352,0.909243
0.395531,0.017537,0.191334,0.135812,0.086434,0.059714,0.284968,0.014976,0.000736,0.001505,0.000960,0.000352,0.914331
0.396108,0.017632,0.209318,0.139621,0.099362,0.064929,0.307433,0.015937,0.000544,0.001536,0.000960,0.000320,0.956572
0.395436,0.017728,0.191974,0.140100,0.084771,0.059394,0.287305,0.014400,0.000512,0.001504,0.000960,0.000352,0.916123
0.395788,0.017505,0.191813,0.138373,0.087842,0.060834,0.290793,0.014753,0.000544,0.001440,0.001056,0.000352,0.920828
0.397324,0.017536,0.191910,0.139076,0.086595,0.061570,0.290761,0.014752,0.000512,0.001440,0.001024,0.000352,0.922075
0.395916,0.017664,0.191910,0.138180,0.084931,0.060034,0.286953,0.014496,0.000512,0.001408,0.000992,0.000320,0.916859
0.396108,0.017537,0.191941,0.138277,0.087842,0.060482,0.290185,0.014560,0.000736,0.001473,0.001184,0.000352,0.920924
0.395532,0.017505,0.192421,0.129156,0.103843,0.061378,0.297993,0.015392,0.000544,0.001472,0.000992,0.000384,0.928764
0.413132,0.017697,0.191973,0.136900,0.098659,0.064930,0.304233,0.014625,0.000512,0.001408,0.000960,0.000352,0.951260
0.396460,0.017728,0.192934,0.126916,0.087170,0.060482,0.278088,0.014977,0.000512,0.001376,0.000960,0.000320,0.910427
0.396620,0.017728,0.191974,0.137316,0.086755,0.062018,0.289513,0.015488,0.000480,0.001568,0.000928,0.000320,0.921147
0.396492,0.017569,0.191813,0.136644,0.100355,0.068546,0.309610,0.014720,0.000544,0.001536,0.000960,0.000352,0.940252
0.395948,0.017569,0.192037,0.137284,0.086819,0.058946,0.286345,0.014880,0.000512,0.001504,0.001056,0.000320,0.916667
0.396075,0.017761,0.191878,0.138404,0.084066,0.059202,0.285000,0.015489,0.000512,0.001536,0.001056,0.000352,0.916187
0.398443,0.017633,0.191782,0.141284,0.086402,0.061793,0.293032,0.015105,0.000768,0.001568,0.000992,0.000384,0.927163
0.412748,0.017537,0.191910,0.138468,0.098531,0.064802,0.305225,0.014592,0.000544,0.001504,0.001120,0.000320,0.952316
0.397291,0.017632,0.192902,0.144100,0.085411,0.066626,0.299721,0.015616,0.000672,0.001504,0.000960,0.000384,0.934043
0.395948,0.017536,0.191942,0.127396,0.087202,0.060834,0.278760,0.015105,0.000512,0.001440,0.001056,0.000352,0.909147
