Layer[0],Layer[1],Layer[2],Layer[3],IN[4],INFER[4-6],OUT[6],TEE[4-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.396364,0.017344,0.191206,0.004896,0.114531,0.102883,0.063906,0.285000,0.000768,0.002880,0.001249,0.000416,0.906747
0.396396,0.017440,0.191334,0.004896,0.110467,0.093954,0.062338,0.270088,0.000800,0.002336,0.001120,0.000384,0.891290
0.395947,0.017568,0.191430,0.005312,0.113091,0.097443,0.092515,0.307305,0.001056,0.003072,0.001056,0.000416,0.930523
0.397228,0.017889,0.191269,0.005249,0.102179,0.095266,0.064386,0.265671,0.000800,0.002625,0.001280,0.000448,0.889659
0.396715,0.017505,0.191302,0.005024,0.114851,0.098883,0.066882,0.284680,0.001024,0.002560,0.001312,0.000416,0.908730
0.396876,0.017537,0.191941,0.005280,0.118628,0.095715,0.080354,0.297897,0.000704,0.002880,0.001152,0.000416,0.921179
0.413164,0.017473,0.191397,0.004864,0.121124,0.101347,0.067298,0.293193,0.000800,0.002336,0.001248,0.000384,0.932123
0.396331,0.017633,0.191782,0.005280,0.121571,0.098786,0.070435,0.294345,0.000704,0.005088,0.001344,0.000448,0.919803
0.396651,0.017568,0.191334,0.005280,0.113027,0.098051,0.066530,0.281192,0.000704,0.003008,0.001216,0.000352,0.906330
0.396492,0.017569,0.191621,0.004832,0.112196,0.121827,0.103780,0.341163,0.000704,0.003232,0.001280,0.000416,0.964669
0.396268,0.017377,0.191525,0.004864,0.110468,0.103395,0.063650,0.280969,0.000704,0.004640,0.001280,0.000384,0.904955
